TÍTULO,ANO,CLUBE
3X MELHOR JOGADOR DO MUNDO,2022,Lionel Messi
3X MELHOR JOGADOR DO MUNDO,2019,Lionel Messi
3X MELHOR JOGADOR DO MUNDO,2009,Lionel Messi
7X VENCEDOR BALLON D'OR,2021,Lionel Messi
7X VENCEDOR BALLON D'OR,2019,Lionel Messi
7X VENCEDOR BALLON D'OR,2015,Lionel Messi
7X VENCEDOR BALLON D'OR,2012,Lionel Messi
7X VENCEDOR BALLON D'OR,2011,Lionel Messi
7X VENCEDOR BALLON D'OR,2010,Lionel Messi
7X VENCEDOR BALLON D'OR,2009,Lionel Messi
3X O FUTEBOLISTA DO ANO DA EUROPA,2015,Lionel Messi
3X O FUTEBOLISTA DO ANO DA EUROPA,2011,Lionel Messi
3X O FUTEBOLISTA DO ANO DA EUROPA,2009,Lionel Messi
22X MELHOR MARCADOR,20/21,Copa América 2021 - 4 Golos
22X MELHOR MARCADOR,20/21,LaLiga - 30 Golos
22X MELHOR MARCADOR,19/20,LaLiga - 25 Golos
22X MELHOR MARCADOR,18/19,LaLiga - 36 Golos
22X MELHOR MARCADOR,18/19,UEFA Champions League - 12 Golos
22X MELHOR MARCADOR,17/18,LaLiga - 34 Golos
22X MELHOR MARCADOR,16/17,Copa do Rei
22X MELHOR MARCADOR,16/17,LaLiga - 37 Golos
22X MELHOR MARCADOR,15/16,Copa do Rei - 5 Golos
22X MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos
22X MELHOR MARCADOR,13/14,Copa do Rei - 5 Golos
22X MELHOR MARCADOR,12/13,LaLiga - 46 Golos
22X MELHOR MARCADOR,11/12,UEFA Champions League - 14 Golos
22X MELHOR MARCADOR,11/12,LaLiga - 50 Golos
22X MELHOR MARCADOR,10/11,Mundial de Clubes
22X MELHOR MARCADOR,10/11,UEFA Champions League - 12 Golos
22X MELHOR MARCADOR,10/11,Copa do Rei
22X MELHOR MARCADOR,09/10,LaLiga - 34 Golos
22X MELHOR MARCADOR,09/10,UEFA Champions League - 8 Golos
22X MELHOR MARCADOR,08/09,Copa do Rei - 6 Golos
22X MELHOR MARCADOR,08/09,UEFA Champions League - 9 Golos
22X MELHOR MARCADOR,04/05,Campeonato do Mundo Sub 20 2005 - 6 Golos
4X FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2021,Espanha
4X FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2020,Espanha
4X FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Espanha
4X FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2018,Espanha
1X CAMPEÃO DO MUNDO,2022,Argentina
1X VENCEDOR COPA AMÉRICA,20/21,Argentina
4X VENCEDOR DA CHAMPIONS-LEAGUE,14/15,FC Barcelona
4X VENCEDOR DA CHAMPIONS-LEAGUE,10/11,FC Barcelona
4X VENCEDOR DA CHAMPIONS-LEAGUE,08/09,FC Barcelona
4X VENCEDOR DA CHAMPIONS-LEAGUE,05/06,FC Barcelona
3X CAMPEÃO DO MUNDO FIFA-KLUB,2016,FC Barcelona
3X CAMPEÃO DO MUNDO FIFA-KLUB,2012,FC Barcelona
3X CAMPEÃO DO MUNDO FIFA-KLUB,2010,FC Barcelona
10X CAMPEÃO DE ESPANHA,18/19,FC Barcelona
10X CAMPEÃO DE ESPANHA,17/18,FC Barcelona
10X CAMPEÃO DE ESPANHA,15/16,FC Barcelona
10X CAMPEÃO DE ESPANHA,14/15,FC Barcelona
10X CAMPEÃO DE ESPANHA,12/13,FC Barcelona
10X CAMPEÃO DE ESPANHA,10/11,FC Barcelona
10X CAMPEÃO DE ESPANHA,09/10,FC Barcelona
10X CAMPEÃO DE ESPANHA,08/09,FC Barcelona
10X CAMPEÃO DE ESPANHA,05/04,FC Barcelona
10X CAMPEÃO DE ESPANHA,04/05,FC Barcelona
1X CAMPEÃO DE FRANÇA,21/22,FC Paris Saint-Germain
3X VENCEDOR UEFA-SUPERCUP,15/16,FC Barcelona
3X VENCEDOR UEFA-SUPERCUP,11/12,FC Barcelona
3X VENCEDOR UEFA-SUPERCUP,09/10,FC Barcelona
7X VENCEDOR DA TAÇA DE ESPANHA,20/21,FC Barcelona
7X VENCEDOR DA TAÇA DE ESPANHA,17/18,FC Barcelona
7X VENCEDOR DA TAÇA DE ESPANHA,16/17,FC Barcelona
7X VENCEDOR DA TAÇA DE ESPANHA,15/16,FC Barcelona
7X VENCEDOR DA TAÇA DE ESPANHA,14/15,FC Barcelona
7X VENCEDOR DA TAÇA DE ESPANHA,11/12,FC Barcelona
7X VENCEDOR DA TAÇA DE ESPANHA,08/09,FC Barcelona
8X VENCEDOR DA SUPERTAÇA DE ESPANHA,18/19,FC Barcelona
8X VENCEDOR DA SUPERTAÇA DE ESPANHA,16/17,FC Barcelona
8X VENCEDOR DA SUPERTAÇA DE ESPANHA,13/14,FC Barcelona
8X VENCEDOR DA SUPERTAÇA DE ESPANHA,11/12,FC Barcelona
8X VENCEDOR DA SUPERTAÇA DE ESPANHA,10/11,FC Barcelona
8X VENCEDOR DA SUPERTAÇA DE ESPANHA,09/10,FC Barcelona
8X VENCEDOR DA SUPERTAÇA DE ESPANHA,06/07,FC Barcelona
8X VENCEDOR DA SUPERTAÇA DE ESPANHA,05/06,FC Barcelona
1X CAMPEÃO DO MUNDO SUB20,2005,Argentina Sub-20
1X CONMEBOL-UEFA CUP OF CHAMPIONS WINNER,21/22,Argentina
1X VENCEDOR DA SUPERTAÇA DE FRANÇA,22/23,FC Paris Saint-Germain
1X VENCEDOR OLÍMPICO,2023-09-08 00:00:00,Argentina olímpica
